	Is ad		Related ad domain	Suspect domain	Ad blocked	Suspect blocked	Ad first appear	Suspect first appear	Related reasons	Similar paths			
107	v	78	hnnbnktj.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-22	2020-05-17	dns	cert			
108	v	79	gkxwihhn.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-08	2020-05-17	dns	cert			
109	v	80	qdjktefm.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-05	2020-05-17	dns	cert			
110	v	81	brroexdz.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-31	2020-05-17	dns	cert			
111	v	82	ktzhytph.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-19	2020-05-17	dns	cert			
112	v	83	ljwbedny.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-18	2020-05-17	dns	cert			
113	v	84	keodgkmr.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-22	2020-05-17	dns	cert			
114	v	85	ogwrvrse.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-25	2020-05-17	dns	cert			
115	v	86	uhechyac.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-16	2020-05-17	dns	cert			
116	v	87	ihbwcnpx.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-07	2020-05-17	dns	cert			
117	v	88	frpuhcwt.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-04	2020-05-17	dns	cert			
118	v	89	jpdaawyi.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-11-01	2020-05-17	dns	cert			
119	v	90	ewripwjf.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-19	2020-05-17	dns	cert			
120	v	91	xchzeift.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-21	2020-05-17	dns	cert			
121	v	92	xoldvylv.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-20	2020-05-17	dns	cert			
122	v	93	avqgugxa.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-24	2020-05-17	dns	cert			
123	v	94	mommhore.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-17	2020-05-17	dns	cert			
124	v	95	ppzlahfk.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-02	2020-05-17	dns	cert			
125		0	cashinme.com	figmasource.com	2017-09-25	X	2017-08-21	2017-10-23	dns				
126		1	fastdlr.com	figmasource.com	2020-07-30	X	2020-04-28	2017-10-23	dns				
127		2	marphezis.com	figmasource.com	2015-03-01	X	2015-09-07	2017-10-23	dns				
128	v	0	d1il9t8pu4dsoj.cloudfront.net	d4a064fydensq.cloudfront.net	2019-04-02	X	2018-07-24	2019-01-04	dns	cert	/script.js (290)		
129	v	1	d2c4ylitp1qu24.cloudfront.net	d4a064fydensq.cloudfront.net	2019-05-28	X	2019-05-21	2019-01-04	cert	/script.js (290)			
130	v	2	d29dbajta0the9.cloudfront.net	d4a064fydensq.cloudfront.net	2019-03-01	X	2018-06-29	2019-01-04	cert	/script.js (290)			
131	v	3	d3asksgk2foh5m.cloudfront.net	d4a064fydensq.cloudfront.net	2018-11-17	X	2018-11-14	2019-01-04	cert	/script.js (290)			
132	v	4	d3l320urli0p1u.cloudfront.net	d4a064fydensq.cloudfront.net	2019-05-17	X	2018-10-30	2019-01-04	cert	/script.js (290)			
133	v	5	d3a42c7xs4vn3.cloudfront.net	d4a064fydensq.cloudfront.net	2019-02-05	X	2018-09-27	2019-01-04	cert	/script.js (290)			
134	v	0	cdnvideo.mobi	parkurl.com	2020-08-05	2021-01-20	2020-08-05	2020-07-23	dns	/vast-im.js (17)	 /api/spots (21)	  (252601)	
135	v	1	a.o333o.com	parkurl.com	2015-03-01	2021-01-20	2015-09-04	2020-07-23	dns	/api/spots (21)	  (252601)		
136	v	2	b.filexan.com	parkurl.com	2020-06-07	2021-01-20	2020-04-29	2020-07-23	dns	/vast-im.js (17)	  (252601)		
137	v	3	z0000g.yvmads.com	parkurl.com	2020-01-15	2021-01-20	2019-12-17	2020-07-23	dns	/api/spots (21)	  (252601)		
138	v	4	softspace.mobi	parkurl.com	2020-09-21	2021-01-20	2020-08-24	2020-07-23	dns	/vast-im.js (17)	 /api/spots (21)	  (252601)	
139	v	5	asg.somecdn.bid	parkurl.com	2020-03-10	2021-01-20	2019-12-16	2020-07-23	dns	/vast-im.js (17)	  (252601)		
140	v	6	uk.boffinsoft.com	parkurl.com	2019-11-14	2021-01-20	2020-08-20	2020-07-23	dns	/api/spots (21)	  (252601)		
141	v	7	my.shymilftube.com	parkurl.com	2020-12-08	2021-01-20	2020-05-28	2020-07-23	dns	/vast-im.js (17)	  (252601)		
142	v	8	a.nvrblk.xyz	parkurl.com	2020-09-02	2021-01-20	2020-08-05	2020-07-23	dns	/vast-im.js (17)	 /api/spots (21)	  (252601)	
143	v	9	hq3x.com	parkurl.com	2019-11-28	2021-01-20	2019-11-10	2020-07-23	dns	/vast-im.js (17)	  (252601)		
144	v	10	a.xxe2.com	parkurl.com	2020-05-31	2021-01-20	2020-02-09	2020-07-23	dns	/api/spots (21)	  (252601)		
145	v	0	tcrybv.com	qtjscx.com	2020-06-16	X	2020-06-18	2021-01-30	dns				
146	v	1	jvljpv.com	qtjscx.com	2019-12-01	X	2019-11-08	2021-01-30	dns				
147	v	2	qakdki.com	qtjscx.com	2020-07-04	X	2020-05-24	2021-01-30	dns				
148	v	3	inpiza.com	qtjscx.com	2020-07-24	X	2019-11-23	2021-01-30	dns				
149	v	4	umcbbt.com	qtjscx.com	2020-05-15	X	2020-06-04	2021-01-30	dns				
150	v	5	eadgxy.com	qtjscx.com	2019-11-05	X	2020-02-24	2021-01-30	dns				
151	v	6	kbtzxl.com	qtjscx.com	2020-01-28	X	2019-11-26	2021-01-30	dns				
152	v	7	tpjsqt.com	qtjscx.com	2019-11-16	X	2020-01-25	2021-01-30	dns				
153	v	8	bveyge.com	qtjscx.com	2019-11-16	X	2019-12-07	2021-01-30	dns				
154	v	9	gmoshk.com	qtjscx.com	2020-04-22	X	2020-03-06	2021-01-30	dns				
155	v	10	cycsfe.com	qtjscx.com	2020-05-13	X	2020-06-18	2021-01-30	dns				
156	v	11	mstngh.com	qtjscx.com	2020-06-01	X	2020-02-18	2021-01-30	dns				
157	v	12	wpnjrm.com	qtjscx.com	2020-03-20	X	2020-03-31	2021-01-30	dns				
158	v	13	ivpraz.com	qtjscx.com	2020-05-30	X	2020-06-24	2021-01-30	dns				
159	v	14	oijkse.com	qtjscx.com	2020-02-11	X	2020-09-20	2021-01-30	dns				
160	v	15	tneduf.com	qtjscx.com	2020-02-26	X	2019-11-03	2021-01-30	dns				
161	v	16	aafdcq.com	qtjscx.com	2019-11-28	X	2019-11-23	2021-01-30	dns				
162	v	17	bergfi.com	qtjscx.com	2020-02-28	X	2020-02-22	2021-01-30	dns				
163	v	18	zusbzr.com	qtjscx.com	2020-04-21	X	2020-04-17	2021-01-30	dns				
164	v	19	ublrfs.com	qtjscx.com	2020-04-22	X	2020-06-11	2021-01-30	dns				
165	v	20	rnwbrm.com	qtjscx.com	2020-08-14	X	2020-09-02	2021-01-30	dns				
166	v	21	wcgthe.com	qtjscx.com	2020-06-25	X	2020-09-26	2021-01-30	dns				
167	v	22	sblftg.com	qtjscx.com	2020-01-28	X	2020-03-09	2021-01-30	dns				
168	v	23	ckgnoy.com	qtjscx.com	2020-09-21	X	2020-08-24	2021-01-30	dns				
